MSU	Gene description	LFC	FDR	RAP
LOC_Os01g54350	protein kinase domain containing protein, expressed	1.162831892	2.57e-12	Os01g0747400
LOC_Os01g54400	VQ domain containing protein, putative, expressed	0.618514168	0.003986713	Os01g0747800
LOC_Os01g54470	GDSL-like lipase/acylhydrolase, putative, expressed	3.203582657	4.1e-5	Os01g0748500
LOC_Os01g54480	serine/threonine protein kinase, putative, expressed	1.117226073	1.42e-6	Os01g0748600
LOC_Os01g54510	MAC/Perforin domain containing protein, putative, expressed	1.193275853	2.9e-7	Os01g0748900
LOC_Os01g54515	peptide transporter PTR2, putative, expressed	6.900215632	1.2e-234	Os01g0748950
LOC_Os01g54560	trehalose synthase, putative, expressed	1.711606568	5.47e-14	Os01g0749400
LOC_Os01g54670	coiled-coil domain-containing protein 25, putative, expressed	1.543503303	1.84266e-4	Os01g0750500
LOC_Os01g54700	retrotransposon protein, putative, unclassified, expressed	1.693128717	1.76e-23	Os01g0750600
LOC_Os01g54969	O-methyltransferase, putative, expressed	3.972451145	3.45e-17	Os01g0753300
LOC_Os01g54980	expressed protein	3.343135156	2.4e-15	Os01g0753400
LOC_Os01g55100	slTCP3, putative, expressed	-1.733880459	0.005072251	Os01g0755500
LOC_Os01g55110	RING-H2 finger protein, putative, expressed	0.79280003	0.00557047	Os01g0755700
LOC_Os01g55150	bZIP transcription factor domain containing protein, expressed	-1.667152517	0.003297381	Os01g0756200
LOC_Os01g55160	expressed protein	1.777457195	5.2e-5	Os01g0756300
LOC_Os01g55240	gibberellin 2-beta-dioxygenase, putative, expressed	1.815584936	5.07e-24	Os01g0757200
LOC_Os01g55260	AAA-type ATPase family protein, putative, expressed	0.613529566	5.99532e-4	Os01g0757400
LOC_Os01g55320	heavy metal-associated domain containing protein, expressed	4.170312988	2.05e-20	Os01g0758000
LOC_Os01g55500	nucleobase-ascorbate transporter, putative, expressed	1.736786471	4.56e-8	Os01g0759900
LOC_Os01g55510	dynein light chain type 1 domain containing protein, expressed	3.458278894	7.9e-69	Os01g0760000
LOC_Os01g55560	ABIL3, putative, expressed	2.299469834	2.96e-7	Os01g0760900
LOC_Os01g55610	peptide transporter PTR2, putative, expressed	6.048256852	1.93e-41	Os01g0761500
LOC_Os01g55750	TCP family transcription factor, putative, expressed	-1.070027808	0.042890143	Os01g0763200
LOC_Os01g55860	expressed protein	1.097250799	0.006261908	Os01g0764300
LOC_Os01g55940	OsGH3.2 - Probable indole-3-acetic acid-amido synthetase, expressed	2.245430267	4.52e-38	Os01g0764800
LOC_Os01g56030	EF hand family protein, putative, expressed	-0.695270129	4.86822e-4	Os01g0765600
LOC_Os01g56130	CSLC1 - cellulose synthase-like family C, expressed	1.10763275	3.65e-9	Os01g0766900
LOC_Os01g56220	expressed protein	1.53811441	0.003733918	Os01g0768100
LOC_Os01g56230	transmembrane protein 56, putative, expressed	0.620752311	0.005184208	Os01g0768200
LOC_Os01g56235	expressed protein	1.697930802	5.1e-5	Os01g0768300
LOC_Os01g56240	OsSAUR2 - Auxin-responsive SAUR gene family member, expressed	4.283458256	1.15e-90	Os01g0768333
LOC_Os01g56300	expressed protein	1.159337423	3.62e-7	Os01g0769000
LOC_Os01g56310	radical SAM enzyme, putative, expressed	1.073862046	2.1e-9	Os01g0769100
LOC_Os01g56330	TKL_IRAK_CrRLK1L-1.5 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed	1.899773033	2.01e-29	Os01g0769700
LOC_Os01g56390	OsFBX26 - F-box domain containing protein, expressed	-0.591034351	0.001463726	Os01g0770400
LOC_Os01g56450	DUF567 domain containing protein, putative, expressed	1.687085238	8.73e-8	Os01g0771000
LOC_Os01g56560	cyclase/dehydrase family protein, expressed	0.705069877	7.68e-5	Os01g0772400
LOC_Os01g56570	xylosyltransferase, putative, expressed	1.775608305	8.34e-5	Os01g0772500
LOC_Os01g56660	expressed protein	-1.133092348	0.033829264	Os01g0773400
LOC_Os01g56690	helix-loop-helix DNA-binding domain containing protein, expressed	3.04080287	8.4e-45	Os01g0773800
LOC_Os01g56810	cytokinin dehydrogenase precursor, putative, expressed	2.671101169	6.65e-10	Os01g0775400
LOC_Os01g56870	expressed protein	2.064267851	2.87e-5	Os01g0776500
LOC_Os01g56890	expressed protein	1.605412191	3.35e-12	Os01g0776700
LOC_Os01g56930	eukaryotic aspartyl protease domain containing protein, expressed	0.934834089	1.02854e-4	Os01g0777200
LOC_Os01g57020	expressed protein	2.991343798	4.12e-14	Os01g0778100
LOC_Os01g57030	expressed protein	1.589000992	3.33e-8	NA
LOC_Os01g57073	insulin-degrading enzyme, putative, expressed	0.776039865	0.001103336	Os01g0778800
LOC_Os01g57110	SNF2 family N-terminal domain containing protein, expressed	0.66757214	0.009083596	Os01g0779400
LOC_Os01g57240	expressed protein	0.936027922	8.02e-5	Os01g0780800
LOC_Os01g57250	expressed protein	-0.723910997	0.001102196	Os01g0780900
LOC_Os01g57270	disease resistance RPP13-like protein 1, putative, expressed	-0.836553213	3.58675e-4	Os01g0781100
LOC_Os01g57280	rp1, putative, expressed	-1.017508462	2.18e-5	Os01g0781200
LOC_Os01g57400	lysM domain containing protein, putative	13.17271679	4.15e-244	Os01g0783000
LOC_Os01g57420	diacylglycerol kinase, putative, expressed	1.246747707	6.78e-8	Os01g0783200
LOC_Os01g57470	EF hand family protein, putative, expressed	3.043221503	9.31e-38	Os01g0783700
LOC_Os01g57580	bHelix-loop-helix transcription factor, putative, expressed	-1.160499734	1.63468e-4	Os01g0784900
LOC_Os01g57620	expressed protein	6.594535106	0.005137739	Os01g0785600
LOC_Os01g57690	early nodulin 20 precursor, putative, expressed	-1.197270822	0.044546673	Os01g0786500
LOC_Os01g57700	membrane protein, putative, expressed	-0.660880586	0.012347458	Os01g0786700
LOC_Os01g57710	membrane protein, putative, expressed	-1.247343991	1.17e-12	Os01g0786800
LOC_Os01g57730	peroxidase precursor, putative, expressed	1.573211507	2.92e-13	Os01g0787000
LOC_Os01g57962	photosystem I P700 chlorophyll a apoprotein A2, putative, expressed	1.942554426	0.031217281	NA
LOC_Os01g57968	expressed protein	1.099311881	3.59e-7	NA
LOC_Os01g58000	ATP synthase epsilon chain, putative, expressed	1.565910331	0.005054247	NA
LOC_Os01g58020	ribulose bisphosphate carboxylase large chain precursor, putative, expressed	1.709424003	4.68e-8	NA
LOC_Os01g58024	NADPH-dependent oxidoreductase, putative, expressed	1.325743779	0.002949093	NA
LOC_Os01g58039	uncharacterized protein ycf70, putative, expressed	1.2635823370000001	0.014741266	NA
LOC_Os01g58049	photosystem I assembly protein ycf4, putative, expressed	1.526647814	1.10017e-4	NA
LOC_Os01g58130	expressed protein	2.132600105	9.81e-11	Os01g0793800
LOC_Os01g58140	expressed protein	1.577285272	2.44e-12	Os01g0793900
LOC_Os01g58150	expressed protein	1.018308048	3.3e-9	Os01g0794100
LOC_Os01g58194	protein disulfide isomerase, putative, expressed	1.860129248	5.26e-22	Os01g0794400
LOC_Os01g58220	translation initiation factor SUI1, putative, expressed	0.599051662	0.02692494	Os01g0794500
LOC_Os01g58320	expressed protein	-0.640891255	0.002978854	Os01g0795700
LOC_Os01g58335	expressed protein	2.571760221	8.08144e-4	Os01g0795832
LOC_Os01g58420	AP2 domain containing protein, expressed	1.778775645	8.23e-16	Os01g0797600
LOC_Os01g58500	expressed protein	1.491360781	0.00818692	Os01g0798800
LOC_Os01g58520	disease resistance protein, putative, expressed	0.830576806	0.014727552	Os01g0799000
LOC_Os01g58530	NB-ARC/LRR disease resistance protein, putative, expressed	1.074827387	2.94e-10	Os01g0799100
LOC_Os01g58550	methyladenine glycosylase, putative, expressed	-1.442176277	1.51504e-4	Os01g0799500
LOC_Os01g58600	expressed protein	7.348214092	1.47319e-4	NA
LOC_Os01g58620	expressed protein	1.049084821	1.02e-6	Os01g0800300
LOC_Os01g58640	nucleotide pyrophosphatase/phosphodiesterase, putative, expressed	2.086122057	4.12e-31	Os01g0800500
LOC_Os01g58650	LTPL35 - Protease inhibitor/seed storage/LTP family protein precursor, putative	11.27212265	2.04e-107	Os01g0800600
LOC_Os01g58660	LTPL29 - Protease inhibitor/seed storage/LTP family protein precursor, expressed	10.02613218	5.28e-37	NA
LOC_Os01g58790	GHMP kinases ATP-binding protein, putative, expressed	1.116263461	9.16e-9	Os01g0802100
LOC_Os01g58850	circadian clock coupling factor-related, putative, expressed	4.060552467	1.3e-13	Os01g0802600
LOC_Os01g59150	tubulin/FtsZ domain containing protein, putative, expressed	-0.629554255	0.017503423	Os01g0805900
LOC_Os01g59180	OsFBX27 - F-box domain containing protein, expressed	1.417696604	5.69e-18	Os01g0806101
LOC_Os01g59180	OsFBX27 - F-box domain containing protein, expressed	1.417696604	5.69e-18	Os01g0806200
LOC_Os01g59290	hypothetical protein	1.954435251	0.045649557	NA
LOC_Os01g59320	expressed protein	0.777165028	0.001753368	Os01g0807800
LOC_Os01g59450	ZOS1-13 - C2H2 zinc finger protein, expressed	3.082200761	5.09549e-4	NA
LOC_Os01g59530	OsCML1 - Calmodulin-related calcium sensor protein, expressed	-0.609787255	0.017880752	Os01g0810300
LOC_Os01g59550	senescence-induced receptor-like serine/threonine-protein kinase precursor, putative, expressed	-1.120213129	5.62e-12	Os01g0810500
LOC_Os01g59690	OsFBX28 - F-box domain containing protein, expressed	1.954122563	3.08e-23	Os01g0812200
LOC_Os01g59760	bZIP transcription factor, putative, expressed	1.429501768	1.47e-11	Os01g0813100
LOC_Os01g59870	LTPL65 - Protease inhibitor/seed storage/LTP family protein precursor, expressed	2.78831727	1.96785e-4	Os01g0814100
LOC_Os01g59870	LTPL65 - Protease inhibitor/seed storage/LTP family protein precursor, expressed	2.78831727	1.96785e-4	Os01g0814150
LOC_Os01g59930	NADH-cytochrome b5 reductase, putative, expressed	0.645539746	0.009415544	Os01g0814900
LOC_Os01g60020	NAC domain transcription factor, putative, expressed	1.80540026	2.2e-27	Os01g0816100
LOC_Os01g60060	leucine-rich repeat family protein, putative, expressed	1.457305562	2.27e-12	Os01g0816600
LOC_Os01g60110	E2F-related protein, putative, expressed	1.678826316	6.91e-13	Os01g0817000
LOC_Os01g60120	transmembrane protein 56, putative, expressed	1.212112775	7.38e-6	Os01g0817100
LOC_Os01g60170	DUF567 domain containing protein, putative, expressed	1.094767701	0.048585196	Os01g0817650
LOC_Os01g60420	expressed protein	1.821596327	2.21e-27	Os01g0819700
LOC_Os01g60490	WRKY22, expressed	4.511770563	1.09e-20	Os01g0820400
LOC_Os01g60520	WRKY116, expressed	1.409314992	3.41e-6	Os01g0820700
LOC_Os01g60540	WRKY20, expressed	-2.215348731	6.5e-5	Os01g0820900
LOC_Os01g60600	WRKY108, expressed	4.37057749	2.91e-65	Os01g0821300
LOC_Os01g60640	WRKY21, expressed	3.324794007	3.58e-62	Os01g0821600
LOC_Os01g60700	serine/threonine-protein kinase NAK, putative, expressed	0.766917874	1.82151e-4	Os01g0822200
LOC_Os01g60740	LTPL16 - Protease inhibitor/seed storage/LTP family protein precursor, expressed	2.863176142	4.4364e-4	Os01g0822900
LOC_Os01g60770	expansin precursor, putative, expressed	-0.732118347	0.003303388	Os01g0823100
LOC_Os01g60790	40S ribosomal protein S26, putative, expressed	0.648456112	0.007902615	Os01g0823300
LOC_Os01g60850	expressed protein	-0.829374674	1.86e-6	Os01g0823700
LOC_Os01g61060	SAG20, putative, expressed	1.171927922	0.001685637	Os01g0825900
LOC_Os01g61070	heavy metal-associated domain containing protein, expressed	-0.608261336	0.016249552	Os01g0826000
LOC_Os01g61080	WRKY24, expressed	2.152148788	4.37e-27	Os01g0826400
LOC_Os01g61110	ulp1 protease family, C-terminal catalytic domain containing protein, expressed	-2.106506758	1.55e-5	Os01g0826800
LOC_Os01g61310	DUF640 domain containing protein, putative, expressed	-1.33691727	0.001181091	Os01g0828900
LOC_Os01g61510	ammonium transporter protein, putative, expressed	1.038639747	0.016835167	Os01g0831300
LOC_Os01g61550	ammonium transporter protein, putative, expressed	-2.545801938	5.76e-14	Os01g0831900
LOC_Os01g61680	expressed protein	1.109027225	3.97e-9	Os01g0833400
LOC_Os01g61960	GPR107 precursor, putative, expressed	6.827269729	4.13e-65	Os01g0836700
LOC_Os01g61980	expressed protein	-1.086952529	0.023013897	Os01g0836900
LOC_Os01g61990	ankyrin repeat-containing protein, putative, expressed	1.306465539	1.36e-13	Os01g0837000
LOC_Os01g62110	expressed protein	-1.268232524	0.013691598	Os01g0838200
LOC_Os01g62190	ZOS1-15 - C2H2 zinc finger protein, expressed	1.417785327	0.013680039	Os01g0839100
LOC_Os01g62290	DnaK family protein, putative, expressed	-0.733881754	0.004374213	Os01g0840100
LOC_Os01g62360	expressed protein	-0.670497549	0.036042164	Os01g0840900
LOC_Os01g62380	fasciclin-like arabinogalactan protein, putative, expressed	0.922980709	0.003562897	Os01g0841100
LOC_Os01g62420	triosephosphate isomerase, cytosolic, putative, expressed	1.511110361	3.75e-11	Os01g0841600
LOC_Os01g62430	C2 domain containing protein, putative, expressed	3.229034468	2.51e-59	Os01g0841700
LOC_Os01g62450	expressed protein	7.284449179	3.79e-28	NA
LOC_Os01g62460	ZOS1-16 - C2H2 zinc finger protein, expressed	1.061015175	3.7e-6	Os01g0842200
LOC_Os01g62500	OsFtsH3 FtsH protease, homologue of AtFtsH3/10, expressed	0.75346173	0.019835664	Os01g0842600
LOC_Os01g62570	ATP/GTP/Ca++ binding protein, putative, expressed	-0.820395297	0.011106781	Os01g0843300
LOC_Os01g62610	peptidyl-prolyl cis-trans isomerase, FKBP-type, putative, expressed	-1.713517036	2.74e-8	Os01g0844300
LOC_Os01g62630	aspartic proteinase nepenthesin precursor, putative, expressed	1.239866652	0.035861834	Os01g0844500
LOC_Os01g62660	MYB family transcription factor, putative, expressed	0.818589925	0.037986319	Os01g0844900
LOC_Os01g62670	avr9/Cf-9 rapidly elicited protein, putative, expressed	2.004708643	2.4e-18	Os01g0845100
LOC_Os01g62870	oxidoreductase, aldo/keto reductase family protein, putative, expressed	1.549360203	3.66e-18	Os01g0847700
LOC_Os01g62880	oxidoreductase, aldo/keto reductase family protein, putative, expressed	0.965187324	4.53e-8	Os01g0847800
LOC_Os01g62950	ras-related protein, putative, expressed	1.988533646	6.29e-17	Os01g0848700
LOC_Os01g63060	phosphatidic acid phosphatase-related, putative, expressed	2.048383129	1.02e-19	Os01g0850100
LOC_Os01g63230	growth regulator related protein, putative, expressed	0.995877426	7.88e-9	Os01g0851100
LOC_Os01g63260	3-oxo-5-alpha-steroid 4-dehydrogenase, putative, expressed	-0.78060007	1.35e-5	Os01g0851600
LOC_Os01g63270	alpha-glucan phosphorylast isozyme, putative, expressed	-1.115608199	3.99e-8	Os01g0851700
LOC_Os01g63410	expressed protein	-0.909377894	3.8e-6	Os01g0853000
LOC_Os01g63420	OsFBL4 - F-box domain and LRR containing protein, expressed	-0.734976594	0.003244185	Os01g0853400
LOC_Os01g63480	transferase family protein, putative, expressed	-0.610323819	8.85637e-4	Os01g0854000
LOC_Os01g63620	expressed protein	-2.104486867	4.19e-25	Os01g0855200
LOC_Os01g63690	hs1, putative, expressed	1.805205994	5.1e-15	Os01g0855600
LOC_Os01g63930	cytochrome P450, putative, expressed	2.244911819	2.88e-7	Os01g0858200
LOC_Os01g63930	cytochrome P450, putative, expressed	2.244911819	2.88e-7	Os01g0858350
LOC_Os01g63970	sialyltransferase family domain containing protein, expressed	1.266888864	2.08643e-4	Os01g0858900
LOC_Os01g63980	ZOS1-17 - C2H2 zinc finger protein, expressed	1.34519081	0.002665703	Os01g0859100
LOC_Os01g64100	glycosyl hydrolase, putative, expressed	5.251081263	2.92e-154	Os01g0860400
LOC_Os01g64110	glycosyl hydrolase, putative, expressed	1.665456409	1.74e-23	Os01g0860500
LOC_Os01g64170	glycosyl hydrolases family 17, putative, expressed	1.659069109	4.78e-15	Os01g0860800
LOC_Os01g64310	no apical meristem protein, putative, expressed	3.470104258	4.35e-19	Os01g0862800
LOC_Os01g64360	MYB family transcription factor, putative, expressed	3.355661358	7.72e-78	Os01g0863300
LOC_Os01g64440	expressed protein	3.354975718	4.67e-10	Os01g0864200
LOC_Os01g64450	harpin-induced protein 1 domain containing protein, expressed	5.481035474	1.94e-21	Os01g0864300
LOC_Os01g64470	harpin-induced protein 1 domain containing protein, expressed	2.791281592	1.07e-33	Os01g0864500
LOC_Os01g64480	harpin-induced protein 1 domain containing protein, expressed	6.044422129	1.23e-17	Os01g0864632
LOC_Os01g64700	OsFBT3 - F-box and tubby domain containing protein, expressed	-0.662289979	0.005341893	Os01g0866800
LOC_Os01g64750	sterol 3-beta-glucosyltransferase, putative, expressed	0.895486907	1.23e-7	Os01g0867600
LOC_Os01g64790	AP2 domain containing protein, expressed	3.337900237	5.69e-11	Os01g0868000
LOC_Os01g64840	aspartic proteinase nepenthesin-1 precursor, putative, expressed	-1.622289187	0.001189295	Os01g0868600
LOC_Os01g64850	OsSub10 - Putative Subtilisin homologue, expressed	11.73358706	1.7e-39	Os01g0868800
LOC_Os01g64890	CorA-like magnesium transporter protein, putative, expressed	-0.72713744	5.44027e-4	Os01g0869200
LOC_Os01g65000	ammonium transporter protein, putative, expressed	4.39465967	1.05e-133	NA
LOC_Os01g65094	expressed protein	-0.847104835	1.36e-6	Os01g0871350
LOC_Os01g65110	POT family protein, expressed	2.425199961	2.94e-7	Os01g0871600
LOC_Os01g65120	peptide transporter, putative, expressed	-2.086214078	3.81e-5	Os01g0871700
LOC_Os01g65169	proton-dependent oligopeptide transport, putative, expressed	-0.910763315	2.73e-6	Os01g0872100
LOC_Os01g65330	expressed protein	0.883596523	3.21523e-4	Os01g0873900
LOC_Os01g65370	MYB family transcription factor, putative, expressed	1.6171345	2.02e-20	Os01g0874300
LOC_Os01g65380	patellin protein, putative, expressed	1.067596467	2.19e-6	Os01g0874700
LOC_Os01g65420	expressed protein	-1.69155551	0.001369161	Os01g0875000
LOC_Os01g65460	beta-galactosidase precursor, putative, expressed	1.553486283	1.08e-17	Os01g0875500
LOC_Os01g65490	DNA binding protein, putative, expressed	5.423773929	2.59e-36	Os01g0875800
LOC_Os01g65510	OsFBX31 - F-box domain containing protein, expressed	1.327361938	3.45e-12	Os01g0876300
LOC_Os01g65520	Sad1 / UNC-like C-terminal domain containing protein, putative, expressed	0.764107784	0.001583243	Os01g0876400
LOC_Os01g65600	PHD-finger domain containing protein, putative, expressed	-0.665866999	6.558e-4	Os01g0877500
LOC_Os01g65620	expressed protein	-0.796133055	4.9404e-4	Os01g0877900
LOC_Os01g65630	expressed protein	-1.682144103	0.00235979	Os01g0878000
LOC_Os01g65780	glycosyl transferase, putative, expressed	0.990277375	2.71e-5	Os01g0880200
LOC_Os01g65830	acyl-desaturase, chloroplast precursor, putative, expressed	1.675264638	2.12e-5	Os01g0880800
LOC_Os01g65900	chitin-inducible gibberellin-responsive protein, putative, expressed	0.65072617	0.009872554	Os01g0881500
LOC_Os01g65902	apocytochrome f precursor, putative, expressed	1.340823005	0.00136894	NA
LOC_Os01g65920	F-box/LRR-repeat protein 2, putative, expressed	-0.91667491	1.87858e-4	Os01g0881900
LOC_Os01g65940	expressed protein	4.495308746	6.11e-103	NA
LOC_Os01g66000	NADH dehydrogenase I subunit N, putative, expressed	1.981002568	0.002139266	Os01g0882500
LOC_Os01g66010	amino acid transporter, putative, expressed	1.361976858	5.06e-12	Os01g0882800
LOC_Os01g66100	gibberellin 20 oxidase 2, putative, expressed	4.49321048	1.71e-20	Os01g0883800
LOC_Os01g66110	methyltransferase, putative, expressed	1.142464191	7.7e-7	Os01g0883900
LOC_Os01g66130	armadillo/beta-catenin repeat family protein, putative, expressed	0.718939255	4.74e-5	Os01g0884400
LOC_Os01g66190	expressed protein	0.622317872	0.001533061	Os01g0885200
LOC_Os01g66250	S-locus-like receptor protein kinase, putative, expressed	0.884884368	0.003019831	Os01g0885700
LOC_Os01g66270	AP2 domain containing protein, expressed	3.41533335	0.032200013	Os01g0885900
LOC_Os01g66350	DUF647 domain containing protein, putative, expressed	0.679059331	0.007763696	Os01g0886900
LOC_Os01g66530	ARGOS, putative, expressed	2.433063149	1.02e-5	Os01g0888800
LOC_Os01g66590	DUF260 domain containing protein, putative, expressed	-1.406604705	0.029987923	Os01g0889400
LOC_Os01g66640	S-domain receptor-like protein kinase, putative, expressed	3.974615517	7.11e-14	Os01g0890200
LOC_Os01g66700	beta-hexosaminidase precursor, putative, expressed	3.558536564	7.76e-24	Os01g0891000
LOC_Os01g66830	pectinacetylesterase domain containing protein, expressed	1.354704536	3.04e-14	NA
LOC_Os01g66860	serine/threonine protein kinase, putative, expressed	3.97796153	7.68e-53	Os01g0892800
LOC_Os01g66900	expressed protein	1.473520855	0.001167727	Os01g0893700
LOC_Os01g66940	kinase, pfkB family, putative, expressed	0.984903934	4.45e-5	Os01g0894300
LOC_Os01g66970	zinc finger, C3HC4 type domain containing protein, expressed	-0.858024168	1.2595e-4	Os01g0894600
LOC_Os01g67030	auxin-responsive protein, putative, expressed	1.069058901	1.61e-6	Os01g0895300
LOC_Os01g67320	expressed protein	-0.870152457	3.5e-6	Os01g0898800
LOC_Os01g67340	STRUBBELIG-RECEPTOR FAMILY 8 precursor, putative, expressed	0.626151594	0.003623191	Os01g0899000
LOC_Os01g67360	methyltransferase, putative, expressed	-0.849368428	5.11396e-4	Os01g0899200
LOC_Os01g67390	POEI32 - Pollen Ole e I allergen and extensin family protein precursor, expressed	-1.073429858	7.45e-8	Os01g0899700
LOC_Os01g67410	AP2/EREBP transcription factor BABY BOOM, putative, expressed	-0.972619289	0.018619507	Os01g0899800
LOC_Os01g67500	armadillo/beta-catenin repeat family protein, putative, expressed	-0.856968288	7.06e-7	Os01g0901000
LOC_Os01g67560	Divergent PAP2 family domain containing protein, expressed	-0.638532902	0.00649507	Os01g0901800
LOC_Os01g67600	CXE carboxylesterase, putative, expressed	0.587376266	0.00305166	Os01g0902300
LOC_Os01g67650	gibberellin response modulator protein, putative, expressed	9.617830999	8.62e-42	NA
LOC_Os01g67810	transposon protein, putative, unclassified, expressed	2.595450177	8.1e-43	Os01g0905200
LOC_Os01g67820	exo70 exocyst complex subunit domain containing protein, expressed	2.955089828	8.59e-58	Os01g0905300
LOC_Os01g67950	ubiquitin family protein, putative, expressed	1.065039572	0.008945817	Os01g0907200
LOC_Os01g68050	transmembrane amino acid transporter protein, putative, expressed	-1.133061462	0.049295358	Os01g0908600
LOC_Os01g68060	copine, putative, expressed	1.27913166	3.55e-8	Os01g0908700
LOC_Os01g68130	expressed protein	8.575814423	1.25e-36	Os01g0909300
LOC_Os01g68179	expressed protein	-1.143212957	0.005941647	NA
LOC_Os01g68300	expressed protein	-1.143346102	4.9e-11	Os01g0910900
LOC_Os01g68510	peptide transporter PTR2, putative, expressed	0.793145803	0.047732846	Os01g0913300
LOC_Os01g68660	cysteine proteinase inhibitor precursor protein, putative, expressed	4.809237101	0.003191203	Os01g0915200
LOC_Os01g68930	expressed protein	-0.691800116	0.007040151	Os01g0918100
LOC_Os01g69030	sucrose-phosphate synthase, putative, expressed	0.987842554	6.01104e-4	Os01g0919400
LOC_Os01g69040	zinc finger, C3HC4 type domain containing protein, expressed	0.689106332	1.57685e-4	Os01g0919500
LOC_Os01g69080	acyl-desaturase, chloroplast precursor, putative, expressed	1.723030476	1.42e-25	Os01g0919900
LOC_Os01g69220	exostosin family domain containing protein, expressed	-0.656580638	3.66484e-4	Os01g0921300
LOC_Os01g69260	hypothetical protein	5.31612575	2.17638e-4	NA
LOC_Os01g69870	expressed protein	-0.737036818	3.52702e-4	Os01g0923000
LOC_Os01g69904	expressed protein	-0.601598863	0.001077621	Os01g0923400
LOC_Os01g69980	TCP family transcription factor, putative, expressed	-0.655527191	5.01218e-4	Os01g0924400
LOC_Os01g70100	zinc finger DHHC domain-containing protein, putative, expressed	-0.619081177	0.003372363	Os01g0925300
LOC_Os01g70150	expressed protein	2.10185016	4.81e-7	Os01g0925900
LOC_Os01g70180	exostosin family domain containing protein, expressed	-0.667948957	1.81611e-4	Os01g0926400
LOC_Os01g70240	expressed protein	0.738598903	2.22792e-4	Os01g0927300
LOC_Os01g70270	auxin response factor, putative, expressed	0.934076344	1.7e-5	Os01g0927600
LOC_Os01g70310	inducer of CBF expression 2, putative, expressed	1.054355055	0.007854487	Os01g0928000
LOC_Os01g70340	expressed protein	-1.382152617	0.018883449	Os01g0928400
LOC_Os01g70380	serine palmitoyltransferase 2, putative, expressed	0.663715381	0.010211705	Os01g0928800
LOC_Os01g70390	expressed protein	0.795736611	0.045990152	Os01g0929000
LOC_Os01g70470	expressed protein	0.913985734	1.24922e-4	Os01g0930200
LOC_Os01g70490	potassium transporter, putative, expressed	1.622259154	5.34271e-4	Os01g0930400
LOC_Os01g70500	expressed protein	-1.276107852	1.34e-6	Os01g0930500
LOC_Os01g70525	tropinone reductase, putative, expressed	2.093341893	1.24e-14	Os01g0930900
LOC_Os01g70550	heparan-alpha-glucosaminide N-acetyltransferase, putative, expressed	-0.657845443	0.007047245	Os01g0931100
LOC_Os01g70580	thiamin pyrophosphokinase 1, putative, expressed	-0.889306489	4.63108e-4	Os01g0931400
LOC_Os01g70590	DUF567 domain containing protein, putative, expressed	-0.890528913	8.44358e-4	Os01g0931600
LOC_Os01g70600	DUF567 domain containing protein, putative, expressed	5.477475508	1.64e-6	Os01g0931700
LOC_Os01g70710	heavy metal-associated domain containing protein, expressed	-1.041836259	6.24e-6	Os01g0933200
LOC_Os01g70790	SRC2 protein, putative, expressed	1.86209907	1.03e-15	Os01g0934100
LOC_Os01g70820	lumenal PsbP, putative, expressed	0.93203112	1.03e-6	Os01g0934350
LOC_Os01g70820	lumenal PsbP, putative, expressed	0.93203112	1.03e-6	Os01g0934400
LOC_Os01g70870	ZOS1-23 - C2H2 zinc finger protein, expressed	2.717955666	7.17e-8	Os01g0935000
LOC_Os01g71000	protein kinase APK1B, chloroplast precursor, putative, expressed	-0.613375643	0.022924954	Os01g0936100
LOC_Os01g71094	basic 7S globulin 2 precursor, putative, expressed	-0.768229654	0.002054301	Os01g0937200
LOC_Os01g71170	classical arabinogalactan protein 26 precursor, putative, expressed	-1.722954095	0.008152646	Os01g0937900
LOC_Os01g71270	eukaryotic peptide chain release factor subunit 1-1, putative, expressed	1.956677861	7.04e-30	Os01g0939500
LOC_Os01g71320	hexokinase, putative, expressed	0.864236383	7e-7	Os01g0940100
LOC_Os01g71340	glycosyl hydrolases family 17, putative, expressed	1.182827171	1.12096e-4	Os01g0940700
LOC_Os01g71380	glycosyl hydrolases family 17, putative, expressed	-2.368375387	4.68e-9	Os01g0941200
LOC_Os01g71420	Ser/Thr protein phosphatase family protein, putative, expressed	-0.75118235	1.69e-5	Os01g0941800
LOC_Os01g71474	glycosyl hydrolases family 17, putative, expressed	-1.134633502	0.003572173	Os01g0942300
LOC_Os01g71624	expressed protein	1.429422196	0.011627636	Os01g0944100
LOC_Os01g71650	glycosyl hydrolases family 17, putative, expressed	5.689934913	0.047370789	Os01g0944500
LOC_Os01g71670	glycosyl hydrolases family 17, putative, expressed	2.019888091	3.64e-7	Os01g0944700
LOC_Os01g71700	amino acid permease family protein, putative, expressed	1.705429674	2.24e-22	Os01g0945100
LOC_Os01g71740	amino acid permease family protein, putative, expressed	1.504733143	1.98e-19	Os01g0945600
LOC_Os01g71760	amino acid permease family protein, putative, expressed	3.636322576	0.020794956	Os01g0945700
LOC_Os01g71820	glycosyl hydrolases family 17, putative, expressed	2.121677399	5.49e-32	Os01g0946600
LOC_Os01g71830	glycosyl hydrolases family 17, putative, expressed	0.80745008	6.44e-5	Os01g0946700
LOC_Os01g71860	glycosyl hydrolases family 17, putative, expressed	1.740254962	3.05e-25	Os01g0947000
