RAP	MSU	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name	ATG
Os06g0624900	LOC_Os06g41930, LOC_Os06g41930	NA	Similar to zinc-binding family protein, Similar to zinc-binding family protein	protein_coding, protein_coding	LOC9268257, LOC9268257	9268257, 9268257	Similar to zinc-binding family protein., Similar to predicted protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC9268257, uncharacterized LOC9268257	NA	NA	AT1G43000
Os01g0882800	LOC_Os01g66010	OsAAP11E	Similar to Amino acid carrier (Fragment)	protein_coding	LOC4324999	4324999	Similar to Amino acid carrier (Fragment).	NA	NA	AAP11E	AMINO ACID PERMEASE 11E	OsAAP11E, OsAAP8, AAP8	amino acid permease 11E, amino acid permease 8, amino acid/auxin permease 8	AMINO ACID PERMEASE 11E	NA	NA	amino acid permease 4	GO:0005886, GO:0016021, GO:0003333, GO:0015171	plasma membrane, integral component of membrane, amino acid transmembrane transport, amino acid transmembrane transporter activity	AT1G44100
Os05g0424000	LOC_Os05g34980	OsAAP11F	Amino acid permease, Transport of amino acid	protein_coding	LOC4338844	4338844	Amino acid permease, Transport of amino acids	OsAAP11F, AAP11F, OsAAP7, AAP7	amino acid permease 11F, amino acid permease 7, amino acid/auxin permease 7	AAP11F	AMINO ACID PERMEASE 11F	OsAAP11F, OsAAP7, AAP7, FCO7	amino acid permease 11F, amino acid permease 7, amino acid/auxin permeate 7, Functioning in Cesium Over-transport 7	AMINO ACID PERMEASE 11F	NA	NA	amino acid permease 3	GO:0005886, GO:0016021, GO:0003333, GO:0015171, GO:0016020, GO:0006865, GO:0030001	plasma membrane, integral component of membrane, amino acid transmembrane transport, amino acid transmembrane transporter activity, membrane, amino acid transport, metal ion transport	AT1G44100
Os11g0195600	LOC_Os11g09020	OsAAP11C	Similar to Amino acid carrier (Fragment)	protein_coding	LOC4349989	4349989	Similar to Amino acid carrier (Fragment).	NA	NA	AAP11C	AMINO ACID PERMEASE 11C	OsAAP11C, OsAAP11, AAP11	amino acid permease 11C, amino acid permease 11, amino acid/auxin permease 11	AMINO ACID PERMEASE 11C	NA	NA	amino acid permease 3	GO:0005886, GO:0016021, GO:0003333, GO:0015171, GO:0016020, GO:0006865	plasma membrane, integral component of membrane, amino acid transmembrane transport, amino acid transmembrane transporter activity, membrane, amino acid transport	AT1G44100
Os12g0181600	LOC_Os12g08130	OsAAP11B	Amino acid transporter, transmembrane domain containing protein	protein_coding	LOC4351676	4351676	Amino acid transporter, transmembrane domain containing protein.	NA	NA	AAP11B	AMINO ACID PERMEASE 11B	OsAAP11B, OsAAP15, AAP15	amino acid permease 11B, amino acid permease 15, amino acid/auxin permease 15	AMINO ACID PERMEASE 11B	NA	NA	amino acid permease 3	GO:0005886, GO:0016021, GO:0003333, GO:0015171, GO:0016020, GO:0006865	plasma membrane, integral component of membrane, amino acid transmembrane transport, amino acid transmembrane transporter activity, membrane, amino acid transport	AT1G44100
Os12g0181500	LOC_Os12g08090	OsAAP11A	Amino acid permease, Transport of amino acid	protein_coding	LOC4351675	4351675	Amino acid permease, Transport of amino acids	OsAAP11A, AAP11A, OsAAP16, AAP16	amino acid permease 11A, amino acid permease 16, amino acid/auxin permease 16	AAP11A	AMINO ACID PERMEASE 11A	OsAAP11A, OsAAP16, AAP16	amino acid permease 11A, amino acid permease 16, amino acid/auxin permease 16	AMINO ACID PERMEASE 11A	NA	NA	amino acid permease 3	GO:0005886, GO:0016021, GO:0003333, GO:0015171, GO:0016020, GO:0006865	plasma membrane, integral component of membrane, amino acid transmembrane transport, amino acid transmembrane transporter activity, membrane, amino acid transport	AT1G44100
Os06g0499100	LOC_Os06g30400	NA	Hypothetical conserved gene	protein_coding	LOC107277573	107277573	Hypothetical conserved gene.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC107277573	NA	NA	AT1G49000
Os02g0711400	LOC_Os02g48150	NA	Conserved hypothetical protein	protein_coding	LOC4330497	4330497	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4330497	NA	NA	AT1G49000
Os05g0210525	NA	NA	Hypothetical conserved gene	protein_coding	NA	NA	Hypothetical conserved gene.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT1G49000
Os02g0730700	LOC_Os02g49800	NA	Peptidase A1 domain containing protein	protein_coding	LOC4330617	4330617	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartyl protease APCB1	GO:0008233, GO:0004190, GO:0006508, GO:0030163, GO:0016787	peptidase activity, aspartic-type endopeptidase activity, proteolysis, protein catabolic process, hydrolase activity	AT1G49050
Os06g0268700	LOC_Os06g15760	NA	Peptidase A1 domain containing protein	protein_coding	LOC4340719	4340719	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartyl protease APCB1	GO:0008233, GO:0004190, GO:0006508, GO:0016021, GO:0030163, GO:0016020, GO:0016787	peptidase activity, aspartic-type endopeptidase activity, proteolysis, integral component of membrane, protein catabolic process, membrane, hydrolase activity	AT1G49050
Os03g0568500	LOC_Os03g37090	NA	Uncharacterised protein family UPF0136, Transmembrane domain containing protein	protein_coding	LOC4333277	4333277	Uncharacterised protein family UPF0136, Transmembrane domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	protein FATTY ACID EXPORT 5	GO:0016021, GO:0016020, GO:0009706, GO:0015245, GO:0015908	integral component of membrane, membrane, chloroplast inner membrane, fatty acid transmembrane transporter activity, fatty acid transport	AT1G50740
Os02g0787300	LOC_Os02g54600	SMG1	Mitogen-activated protein kinase kinase 4, Defense response, Cell proliferation, Grain growt	protein_coding	LOC4330957	4330957	Mitogen-activated protein kinase kinase 4, Defense response, Cell proliferation, Grain growth	SMG1, OsMKK4, MKK4, OsMKK4/SMG1	SMALL GRAIN 1, MAPK kinase 4, mitogen-activated protein kinase kinase 4, small grain1	SMG1	SMALL GRAIN 1	OsMKK4, MKK4, OsMKK4/SMG1, OsMAPKK4, MAPKK4, OsMEK4, MEK4, OsSMG1, SMG1/OsMEK6, OsMEK6, MEK6	MAPK kinase 4, mitogen-activated protein kinase kinase 4, small grain1, LARGE11, large grain 11	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4	NA	NA	mitogen-activated protein kinase kinase 5	GO:0032147, GO:0004708, GO:0005524, GO:0005737, GO:0004674, GO:0000187, GO:0023014, GO:0031098, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0016772, GO:0000165, GO:0002213, GO:0008283, GO:0009409, GO:0009611, GO:0009690, GO:0009733, GO:0009735, GO:0009737, GO:0009741, GO:0009742, GO:0009743, GO:0009751, GO:0010200, GO:0010229, GO:0042127, GO:0042742, GO:0045595, GO:0048364, GO:0050832, GO:0080027	NA	AT1G51660
Os06g0191300	LOC_Os06g09180	OsMKK5	Similar to Mitogen-activated protein kinase kinase 4 (Fragment)	protein_coding	LOC4340367	4340367	Similar to Mitogen-activated protein kinase kinase 4 (Fragment).	NA	NA	MKK5	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5	OsMKK5, BUD1, OsBUD1	MAPK kinase 5	NA	NA	NA	mitogen-activated protein kinase kinase 5	GO:0005524, GO:0004674, GO:0016740, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0032147, GO:0004708, GO:0005737, GO:0000187, GO:0023014, GO:0031098, GO:0016772, GO:0009409, GO:0009733, GO:0009735, GO:0048364	NA	AT1G51660
Os06g0191500	LOC_Os06g09190	NA	Similar to MAP kinase kinase	protein_coding	LOC4340368	4340368	Similar to MAP kinase kinase.	NA	NA	MPKK5	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5	OsMPKK5	NA	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5	NA	NA	mitogen-activated protein kinase kinase 5	GO:0032147, GO:0004708, GO:0005524, GO:0005737, GO:0004674, GO:0000187, GO:0023014, GO:0031098, GO:0004672, GO:0006468, GO:0004713, GO:0016772	NA	AT1G51660
Os08g0490100	LOC_Os08g38220	OsDof24	Similar to PBF protein	protein_coding	LOC4345900	4345900	Transcription factor with DOF (DNA-binding one zinc finger) domain, Repressor of leaf senescence, Negative regulation of JA biosynthesis pathway	OsDOF24	DNA-BINDING ONE ZINC FINGER 24	DOF24	DNA BINDING WITH ONE FINGER 24	OsDof24, Dof24, OsDof-24, OsDof25, Dof25	Dof zinc factor 24, Dof transcription factor 24	NA	NA	NA	dof zinc finger protein MNB1A	GO:0006355, GO:0003677, GO:0005634, GO:0003700	regulation of DNA-templated transcription, DNA binding, nucleus, DNA-binding transcription factor activity	AT1G51700
Os09g0475800	LOC_Os09g29960	DOF25	Transcriptional activator, Regulation of the C4 photosynthesis gene, OsC4PPD	protein_coding	LOC9268074	9268074	Transcriptional activator, Regulation of the C4 photosynthesis gene, OsC4PPDK	DOF25, OsDof25	DNA BINDING WITH ONE FINGER 25	DOF25	DNA BINDING WITH ONE FINGER 25	OsDof25, Dof25, OsDof-25, OsDof26, Dof26	Dof zinc factor 25, Dof transcription factor 25	NA	NA	NA	dof zinc finger protein MNB1A	GO:0006355, GO:0003677, GO:0005634, GO:0003700	regulation of DNA-templated transcription, DNA binding, nucleus, DNA-binding transcription factor activity	AT1G51700
Os03g0619151	LOC_Os03g42200	OsDof13	Similar to Dof domain, zinc finger family protein, expressed	protein_coding	LOC112938327	112938327	Similar to Dof domain, zinc finger family protein, expressed.	NA	NA	DOF13	DNA BINDING WITH ONE FINGER 13	OsDof13, Dof13, OsDof-13, OsDof14, Dof14	Dof zinc factor 13, Dof transcription factor 13	NA	NA	NA	dof zinc finger protein MNB1A-like	GO:0006355, GO:0003677, GO:0005634, GO:0003700, GO:0008270	regulation of DNA-templated transcription, DNA binding, nucleus, DNA-binding transcription factor activity, zinc ion binding	AT1G51700
Os09g0356200	LOC_Os09g19160	NA	Malectin-like carbohydrate-binding domain domain containing protein	protein_coding	NA	NA	Malectin-like carbohydrate-binding domain domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT1G51820
Os09g0356200	LOC_Os09g19160	NA	Malectin-like carbohydrate-binding domain domain containing protein	protein_coding	NA	NA	Malectin-like carbohydrate-binding domain domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AT1G51850
Os01g0716500	LOC_Os01g51870	NA	Methyltransferase type 12 domain containing protein	protein_coding	LOC4325584	4325584	Methyltransferase type 12 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	putative methyltransferase DDB_G0268948	GO:0008152, GO:0008168	metabolic process, methyltransferase activity	AT1G55450
Os01g0589200	LOC_Os01g40660	NA	Similar to Embryo-abundant protein EMB-like	protein_coding	LOC4324448	4324448	Similar to Embryo-abundant protein EMB-like.	NA	NA	NA	NA	NA	NA	NA	NA	NA	putative methyltransferase DDB_G0268948	NA	NA	AT1G55450
Os04g0616400	LOC_Os04g52606, LOC_Os04g52606	NA	Similar to H0525G02.12 protein, Similar to H0525G02.12 protein	protein_coding, protein_coding	LOC4336998, LOC4336998	4336998, 4336998	Similar to H0525G02.12 protein., Similar to H0525G02.11 protein.	NA	NA	NA	NA	OsMRLK16, OsMRLK16	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 16, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 16	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0005515, GO:0016772, GO:0004712, GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0005515, GO:0016772, GO:0004712	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity, ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os04g0616500	LOC_Os04g52614	NA	Similar to H0525G02.11 protein	protein_coding	LOC9268723	9268723	Similar to H0525G02.11 protein.	NA	NA	NA	NA	OsMRLK17	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 17	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0016772, GO:0004712	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os04g0616300	LOC_Os04g52600	NA	Similar to H0525G02.10 protein	protein_coding	LOC4336997	4336997	Similar to H0525G02.10 protein.	NA	NA	NA	NA	OsMRLK15	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 15	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56140	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0016772, GO:0004712	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os04g0616700	LOC_Os04g52640, LOC_Os04g52640	NA	Hypothetical conserved gene, Hypothetical conserved gene	protein_coding, protein_coding	LOC4337001, LOC4337001	4337001, 4337001	Hypothetical conserved gene., Similar to H0525G02.12 protein.	NA	NA	NA	NA	OsMRLK18, OsMRLK18	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 18, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 18	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56140, probable LRR receptor-like serine/threonine-protein kinase At1g56140	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0005515, GO:0016772, GO:0004712, GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016740, GO:0016020, GO:0000166, GO:0004672, GO:0006468, GO:0016301, GO:0016310, GO:0004713, GO:0005515, GO:0016772, GO:0004712	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity, ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, transferase activity, membrane, nucleotide binding, protein kinase activity, protein phosphorylation, kinase activity, phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os08g0203600	LOC_Os08g10320, LOC_Os08g10320	NA	Hypothetical conserved gene, Hypothetical conserved gene	protein_coding, protein_coding	LOC9271323, LOC9271323	9271323, 9271323	Hypothetical conserved gene., Similar to SHR5-receptor-like kinase (Fragment).	NA	NA	NA	NA	OsMRLK47, OsMRLK47	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 47, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 47	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0016772, GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0004713, GO:0005515, GO:0016772	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups, ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein tyrosine kinase activity, protein binding, transferase activity, transferring phosphorus-containing groups	AT1G56140
Os08g0202300	LOC_Os08g10244, LOC_Os08g10244, LOC_Os08g10244, LOC_Os08g10244	NA	Hypothetical conserved gene, Hypothetical conserved gene, Hypothetical conserved gene, Hypothetical conserved gene	protein_coding, protein_coding, protein_coding, protein_coding	LOC4344909, LOC4344909, LOC4344909, LOC4344909	4344909, 4344909, 4344909, 4344909	Hypothetical conserved gene., Conserved hypothetical protein., Reverse transcriptase domain containing protein., Similar to SHR5-receptor-like kinase (Fragment).	NA	NA	NA	NA	OsMRLP10, OsMRLP10, OsMRLP10, OsMRLP10	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 10, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 10, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 10, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE PROTEIN 10	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0003723, GO:0003964, GO:0005515, GO:0006278, GO:0004712, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0003723, GO:0003964, GO:0005515, GO:0006278, GO:0004712, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0003723, GO:0003964, GO:0005515, GO:0006278, GO:0004712, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0003723, GO:0003964, GO:0005515, GO:0006278, GO:0004712	plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, RNA binding, RNA-directed DNA polymerase activity, protein binding, RNA-templated DNA biosynthetic process, protein serine/threonine/tyrosine kinase activity, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, RNA binding, RNA-directed DNA polymerase activity, protein binding, RNA-templated DNA biosynthetic process, protein serine/threonine/tyrosine kinase activity, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, RNA binding, RNA-directed DNA polymerase activity, protein binding, RNA-templated DNA biosynthetic process, protein serine/threonine/tyrosine kinase activity, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, RNA binding, RNA-directed DNA polymerase activity, protein binding, RNA-templated DNA biosynthetic process, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os05g0263100	LOC_Os05g17800	NA	Similar to SHR5-receptor-like kinase (Fragment)	protein_coding	LOC107275616	107275616	Similar to SHR5-receptor-like kinase (Fragment).	NA	NA	NA	NA	OsMRLK27, OsMRLK28, MRLK28	malectin/malectin-like receptor-like kinase 28	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 27	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0004713, GO:0016772, GO:0004712	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os05g0258400	LOC_Os05g16930	NA	Protein kinase, catalytic domain domain containing protein	protein_coding	LOC4338238	NA	Protein kinase, catalytic domain domain containing protein.	NA	NA	NA	NA	OsMRLK25	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 25	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56140	GO:0005524, GO:0005886, GO:0004674, GO:0046777, GO:0016020, GO:0016021, GO:0004672, GO:0006468, GO:0004713, GO:0016772, GO:0004712	ATP binding, plasma membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, integral component of membrane, protein kinase activity, protein phosphorylation, protein tyrosine kinase activity, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity	AT1G56140
Os04g0291900	LOC_Os04g22470	NA	Protein kinase, catalytic domain domain containing protein	protein_coding	LOC4335399	4335399	Protein kinase, catalytic domain domain containing protein.	NA	NA	NA	NA	OsMRLK13	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 13	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0004674, GO:0046777, GO:0004672, GO:0006468, GO:0016772, GO:0004712, GO:0016021	ATP binding, plasma membrane, protein serine/threonine kinase activity, protein autophosphorylation, protein kinase activity, protein phosphorylation, transferase activity, transferring phosphorus-containing groups, protein serine/threonine/tyrosine kinase activity, integral component of membrane	AT1G56140
Os08g0203400	LOC_Os08g10310	SHR5	Protein kinase, core domain containing protein	protein_coding	LOC4344914	4344914	Protein kinase, core domain containing protein.	NA	NA	NA	NA	SHR5, OsMRLK46	NA	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 46	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56140	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0005515, GO:0016772, GO:0009414, GO:0009723	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein binding, transferase activity, transferring phosphorus-containing groups, response to water deprivation, response to ethylene	AT1G56140
Os08g0203700	LOC_Os08g10330, LOC_Os08g10330	NA	Protein kinase, core domain containing protein, Protein kinase, core domain containing protein	protein_coding, protein_coding	LOC4344916, LOC4344916	4344916, 4344916	Protein kinase, core domain containing protein., Similar to SHR5-receptor-like kinase (Fragment).	NA	NA	NA	NA	OsMRLK48, OsMRLK48	SHR5-receptor-like kinase, SHR5-receptor-like kinase	MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 48, MALECTIN/MALECTIN-LIKE RECEPTOR-LIKE KINASE 48	NA	NA	probable LRR receptor-like serine/threonine-protein kinase At1g56130, probable LRR receptor-like serine/threonine-protein kinase At1g56130	GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0005515, GO:0016772, GO:0009411, GO:0005524, GO:0005886, GO:0016021, GO:0004674, GO:0046777, GO:0016020, GO:0004672, GO:0006468, GO:0005515, GO:0016772, GO:0009411	ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein binding, transferase activity, transferring phosphorus-containing groups, response to UV, ATP binding, plasma membrane, integral component of membrane, protein serine/threonine kinase activity, protein autophosphorylation, membrane, protein kinase activity, protein phosphorylation, protein binding, transferase activity, transferring phosphorus-containing groups, response to UV	AT1G56140
Os12g0129700	LOC_Os12g03594	OsFbox639	Cyclin-like F-box domain containing protein	protein_coding	LOC4351406	4351406	Cyclin-like F-box domain containing protein.	NA	NA	NA	NA	OsFbox639, Os_F0382, OsFBX437, FBX437	F-box protein 639, F-box-type E3 ubiquitin ligase X437	NA	NA	NA	F-box protein PP2-B10	GO:0005515	protein binding	AT1G56240
Os12g0131400	LOC_Os12g03740	OsFbox640	Hypothetical conserved gene	protein_coding	LOC9271663	9271663	Hypothetical conserved gene.	NA	NA	NA	NA	OsFbox640, Fbox640, Os_F0395, OsFBX438, FBX438, OsFBX438, FBX438	F-box protein 640, F-box-type E3 ubiquitin ligase X438	NA	NA	NA	F-box protein PP2-B10	GO:0005515	protein binding	AT1G56240
Os02g0812500	LOC_Os02g56750	OsFbox115	Cyclin-like F-box domain containing protein	protein_coding	LOC4331105	4331105	Cyclin-like F-box domain containing protein.	NA	NA	NA	NA	OsFbox115, Os_F0639, OsFBX65, FBX65	F-box protein 115, F-box-type E3 ubiquitin ligase X65	NA	NA	NA	putative F-box protein PP2-B12	GO:0030246, GO:0005515	carbohydrate binding, protein binding	AT1G56240
Os12g0129700	LOC_Os12g03594	OsFbox639	Cyclin-like F-box domain containing protein	protein_coding	LOC4351406	4351406	Cyclin-like F-box domain containing protein.	NA	NA	NA	NA	OsFbox639, Os_F0382, OsFBX437, FBX437	F-box protein 639, F-box-type E3 ubiquitin ligase X437	NA	NA	NA	F-box protein PP2-B10	GO:0005515	protein binding	AT1G56250
Os12g0131400	LOC_Os12g03740	OsFbox640	Hypothetical conserved gene	protein_coding	LOC9271663	9271663	Hypothetical conserved gene.	NA	NA	NA	NA	OsFbox640, Fbox640, Os_F0395, OsFBX438, FBX438, OsFBX438, FBX438	F-box protein 640, F-box-type E3 ubiquitin ligase X438	NA	NA	NA	F-box protein PP2-B10	GO:0005515	protein binding	AT1G56250
Os02g0812500	LOC_Os02g56750	OsFbox115	Cyclin-like F-box domain containing protein	protein_coding	LOC4331105	4331105	Cyclin-like F-box domain containing protein.	NA	NA	NA	NA	OsFbox115, Os_F0639, OsFBX65, FBX65	F-box protein 115, F-box-type E3 ubiquitin ligase X65	NA	NA	NA	putative F-box protein PP2-B12	GO:0030246, GO:0005515	carbohydrate binding, protein binding	AT1G56250
Os03g0730200	LOC_Os03g52020	NA	Hypothetical conserved gene	protein_coding	LOC107277683	107277683	Hypothetical conserved gene.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC107277683	NA	NA	AT1G58420
Os05g0512100	LOC_Os05g43640	NA	Uncharacterised conserved protein UCP031279 domain containing protein	protein_coding	LOC9267896	9267896	Uncharacterised conserved protein UCP031279 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC9267896	NA	NA	AT1G58420
Os03g0769700	LOC_Os03g55980	NA	Uncharacterised conserved protein UCP031279 domain containing protein	protein_coding	LOC4334252	4334252	Uncharacterised conserved protein UCP031279 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4334252	NA	NA	AT1G58420
Os07g0123800	LOC_Os07g03170	NA	Uncharacterised conserved protein UCP031279 domain containing protein	protein_coding	LOC4342301	4342301	Uncharacterised conserved protein UCP031279 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4342301	NA	NA	AT1G58420
